city_vac,profession,salary,description
Рязань,сварщик,24500.0,среднее профессиональное образование
Обнинск,сварщик,47500.0,образование среднеспециальное профессии сварщик года
Люберцы,продавец,180000.0,высшее техническое образование успешный месяцев должности менеджера продажам оценке автомобилей пробегом отличное знание рынка автомобилей иностранного производства отличные коммуникативные навыки персональном компьютере уровне пользователя нацеленность высокий результат высокая степень открытости клиентоориентированности
Омск,слесарь,39000.0,образование среднее специальное высшее техническое знание компонентов промышленной электроники умение читать электросхемы понимание принципов кипиа тензометрии термопар датчиков давления датчиков уровня пневмоклапанов регуляторов уровня plc приветствуется знание контроллеров omron delta
Воронеж,слесарь,60000.0,аккуратность навыки инструментом
Москва,бухгалтер,85000.0,заместителем главного бухгалтера х лет знание осно усно зарплата управления персоналом отличное знание рсбу знание особенностей ведения бухгалтерского учета организациях имеющих осп практической зуп сбис диадок личный кабинет ифнс хорошее знание excel способность большим объемом данныханалитические способности ответственность инициативность рамках порученных задач самостоятельность энергичность ть целеустремленность обучаемость стремление развитию обязанности организация развитие поддержание бухгалтерии отчетности соответствии требованиями бухгалтерского статистического налогового учетов ведение бухгалтерского налогового учета нескольким юр лицам осно усно контроль всех участков бухгалтерского учета обособленными подразделениями выделенными разработкадоработка положений инструкций организации бухгалтерского учета правила его ведения помощь главному бухгалтеру составлении бухгалтерской налоговой отчетности предприятий одна организация – осн более осп организации – усн составление документов открытиязакрытия осп курирование расходов налогу прибыль ведение книг доходов расходов сверка ифнс пфр фсс ведение основных средств амортизации ведение инвентаризации
Ростов-на-Дону,слесарь,60000.0,желательно профильное среднеспециальное иили высшее образование учеников критично года соискателям предлагаем обучение целью овладения навыками ремонта легковых автомобилей коммерческого транспорта ответственность аккуратность пунктуальность
Дубна,слесарь,102500.0,образование высшее среднее профессиональное техническое общие знания области электротехники электроники умение паяльником слесарным электроинструментом умение выполнять несложные металлорежущих станках внимательность аккуратность ответственность
Коломна,сварщик,77500.0,наличие действующих аттестационных удостоверений соответствующему способу сварки отсутствие медицинских противопоказаний выполняемой
Москва,слесарь,105000.0,сто ремонт легкового коммерческого транспорта умение пользоваться технической литературой вы являетесь профессионалом ремонту одной нескольких обслуживаемых нами марок хотите им стать – мы вас ждем метро строгино минут новорижскому шоссе адрес павловская слобода улица ленина владение
"Москва, м. Домодедовская",слесарь,85000.0,летобязанности крупный сервис ремонту топливной аппаратуры дизельных двигателей тнвд форсункимеханические рядные отечественные bosh зексель
Москва,персонал,50000.0,высшее образования желательно сфере управления персоналом грамотная письменная устная речь скрупулезность вдумчивость стремление найти общий язык любым человеком базовое владение инструментами google suits microsoft office желания постоянно учиться новому стрессоустойчивость
Череповец,сварщик,70000.0,территории северсталь прокладке трубопровода монтажу мк нужно срочно
Рязань,кассир,30300.0,ответственность дисциплинированность внимательность приветствуется магазинах магнит дикси перекресток азбука вкуса вкусвилл карусель верный ашан metro магнолия других торговых сетях
Позариха,кассир,25500.0,ответственность дисциплинированность внимательность приветствуется магазинах магнит дикси перекресток азбука вкуса вкусвилл карусель верный ашан metro магнолия других торговых сетях
Засечное,кассир,25400.0,ответственность дисциплинированность внимательность приветствуется магазинах магнит дикси перекресток азбука вкуса вкусвилл карусель верный ашан metro магнолия других торговых сетях
Клин,кассир,34000.0,ответственность дисциплинированность внимательность приветствуется магазинах магнит дикси перекресток азбука вкуса вкусвилл карусель верный ашан metro магнолия других торговых сетях
"Приозерский р-н, поселок Запорожское",продавец,30000.0,ответственность дисциплинированность внимательность наличие аналогичного является преимуществом
Запорожское,кассир,26750.0,ответственность дисциплинированность внимательность приветствуется магазинах магнит дикси перекресток азбука вкуса вкусвилл карусель верный ашан metro магнолия других торговых сетях
Тольятти,кассир,22150.0,ответственность дисциплинированность внимательность приветствуется магазинах магнит дикси перекресток азбука вкуса вкусвилл карусель верный ашан metro магнолия других торговых сетях
Ленинский,кассир,31750.0,ответственность дисциплинированность внимательность приветствуется магазинах магнит дикси перекресток азбука вкуса вкусвилл карусель верный ашан metro магнолия других торговых сетях
село Канашево,продавец,20000.0,ответственность дисциплинированность внимательность наличие аналогичного является преимуществом
