custom_position,city_vac,offer_education_id,operating_schedule_id,offer_experience_year_count,description,profession,salary
Газосварщик,Обнинск,,Полная занятость,,"требования:  наличие документа, подтверждающего право на сварку ; опыт работы варки аргоном.  условия:  оформление по тк рф у надежного работодателя; полный социальный пакет(питание, доставка, спец-одежда); график работы 5/2;( с 8:30 до 17:00); доставка корпоративным транспортом из обнинска, малоярославца, балабаново, наро-фоминска, вереи, боровска, ермолино; рассматриваем ваши предложения по заработной плате.",сварщик,
Газосварщик,Рязань,,Полная занятость,Нет опыта,требования:  среднее профессиональное образование можно без опыта работы  условия:  5/2 социальные гарантии оформление по тк рф,сварщик,24500.0
Газосварщик,Кемерово,,Полная занятость,,"требования:  опыт сварочных работ отопление, водопровод (3-5 разряд) желательно  условия: -  для иногородних предоставляется жилье  график работы 5/2 с 8:30 до 18:00 оформление в соответствии с тк рф возможны командировки по области с понедельника по пятницу дополнительная информация на собеседовании",сварщик,
Слесарь-сантехник / газосварщик,Обнинск,,Полная занятость,,"требования:  образование средне-специальное по профессии сварщик. опыт работы от 1 года.  условия:  график работы: пятидневка с 8:00 до 17:00. заработная плата по результатам собеседования от 45000 до 50000 руб. бесплатное питание, обеспечение спецодеждой. официальное оформление, прохождение медосмотров оплачивает предприятие.",сварщик,47500.0
Электро-газосварщик,Тверь,,Полная занятость,Нет опыта,"требования:  среднее/ средне специальное образование; опыт работы в аналогичной должности приветствуется; аккуратность, исполнительность, пунктуальность.  условия:  официальное трудоустройство; график работы 5/2 с 8:30 до 17:00; работа на высоте.",сварщик,
Электро-газосварщик  ручной сварки,Москва,,Полная занятость,,"требования: коммуникабельность, исполнительность, внимательность, ответственность чтение чертежей образование: профильное .среднее специальное, среднее профессиональное   условия: -пятидневка - полный социальный пакет, добровольное медицинское страхование, 35 дней отпуска. - график работы: с 8-00 час. до 16-45 час. обед 12-00 час. до 12-45 час.",сварщик,
Газосварщик газификация МО,Одинцово,,Полная занятость,,"требования:читать чертежи сварных соединенийопыт сварки стальных газопроводов ду 15-219 мм на просветопыт сварки пэ трубработоспособность, дисциплинированность",сварщик,
"Оценщик-продавец автомобилей с пробегом ""Мерседес""",Люберцы,,Полная занятость,,"требования:  высшее техническое образование; успешный опыт работы от 6 месяцев в должности менеджера по продажам или оценке автомобилей с пробегом; отличное знание рынка автомобилей иностранного производства; отличные коммуникативные навыки; работа на персональном компьютере на уровне пользователя; нацеленность на высокий результат; высокая степень открытости и клиентоориентированности;  условия:  график работы 4/2; оформление, отпуск, больничный и прочее по тк рф.",продавец,180000.0
Ночной повар-заготовщик,Самара,,Полная занятость,,"требования:  ответственность, пунктуальность, трудолюбие опыт работы заготовщиком наличие медицинской книжки обучаемость работа в режиме многозадачности соблюдение чистоты на рабочем месте исполнительность  условия:  сменный график 2/2, 3/3 своевременные выплаты два раза в месяц конкурентная зп возможность карьерного роста время работы с 23 до 10.",повар,
Заготовщик продуктов/помощник повара ( с 07:00 до 19:00),Ростов-на-Дону,,Полная занятость,Нет опыта,"Компания ""Правый Берег, Группа компаний"" Авторский ресторан в центре города, приглашает ребят на вакансию заготовщика продуктов:  Оплата 1500 рублей за смену; График работы 5/2, 6/1 с 07:00 до 19:00; Дружный коллектив; Бесплатное корпоративное питание; Возможность роста и развития.",повар,
Инженер-электронщик (слесарь КИПа),Омск,,Полная занятость,,"требования:  образование среднее специальное, высшее (техническое); знание компонентов промышленной электроники; умение читать электросхемы; понимание принципов работы кипиа: тензометрии, термопар, датчиков давления, датчиков уровня, пневмоклапанов, регуляторов уровня, plc; приветствуется знание контроллеров omron, delta.  условия:  сменный график работы (2д/1 вых/2н/ 3 вых); ""белая"" заработная плата (выплаты 2 раза в месяц); возможность профессионального развития; официальное трудоустройство, полный соц. пакет; бесплатное ежегодное медицинское обследование; предоставление спецодежды.  ""ястро-переработка"" - активно развивающееся предприятие омской области, выпускающее продукцию по принципу «от поля до полки». направления деятельности предприятия: растениеводство, животноводство, переработка молока, производство полутвердых сыров, плавленых сыров и масла. ассортимент компании на сегодняшний день представлен торговыми марками: «омичка», «rokler», «жаворонки», «ежедень». на текущий момент «ястро-переработка» находится на втором месте среди крупнейших производителей всех сыров и сырных продуктов в россии. компания работает со всеми крупными сетевыми ритейлерами российской федерации. нашу продукция вы можете найти в любом городе россии и ближнего зарубежья. компания использует передовые технологии во всех отраслях своего производства, активно расширяет границы своего присутствия в омской области, создавая новые рабочие места и ответственно относясь к своему персоналу.",слесарь,39000.0
Аккумуляторщик/слесарь,Минск,,Полная занятость,Нет опыта,"требования:  профессиональное образование, обучение по профессии ""аккумуляторщик"" ответственность, желание работать  условия:  доставка служебным транспортом от станций метро ""каменная горка"" и ""уручье"". график сменный 11 часовой; работа на современном логистическом комплексе, официальное оформление возможность профессионального роста внутри компании.",слесарь,
Автослесарь по кузовному ремонту (Арматурщик/Автожестянщик),Зеленоград,,Полная занятость,,"требования:  опыт работы в аналогичной должности от 3-ёх лет знание технологий кузовного ремонта автомобиля знания устройства современных автомобилей. среднее/специальное образование  условия:  официальное оформление и соблюдение тк рф - выплаты зарплаты 2 раза в месяц без задержек, оплачиваемый отпуск и больничный спецодежда и инструмент предоставляются.",слесарь,
